"gene_id","gene_name","n_isoforms","n_novel_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_known_switching_isoforms","novel_involved","has_novel_isoform","max_abs_dif_switching","max_abs_dif_novel_switching","min_isoform_switch_q","min_novel_switch_q","dataset_label","rank"
"XLOC_012538","AMN1",18,11,1,1,0,TRUE,TRUE,0.250666666666667,0.250666666666667,1.80825723539619e-08,1.80825723539619e-08,"T_UT",9
"XLOC_010885","TMEM52B",11,7,1,1,0,TRUE,TRUE,0.248333333333333,0.248333333333333,0.0410479466683336,0.0410479466683336,"T_UT",10
"XLOC_021363","TXNL4B",6,4,2,2,0,TRUE,TRUE,0.246633333333333,0.246633333333333,0.00423308332153217,0.00423308332153217,"T_UT",11
"XLOC_023567","CCL3",15,14,2,2,0,TRUE,TRUE,0.235966666666667,0.235966666666667,4.8847367717883e-13,4.8847367717883e-13,"T_UT",12
"XLOC_015706","JDP2",7,2,1,1,0,TRUE,TRUE,0.2357,0.2357,1.54119077094757e-24,1.54119077094757e-24,"T_UT",13
"XLOC_012880","NEMP1",13,10,1,1,0,TRUE,TRUE,0.235066666666667,0.235066666666667,0.000217506339722001,0.000217506339722001,"T_UT",14
"XLOC_048112","ZP3",7,2,1,1,0,TRUE,TRUE,0.228166666666667,0.228166666666667,5.94207068345666e-05,5.94207068345666e-05,"T_UT",15
"XLOC_037864","HESX1",7,3,1,1,0,TRUE,TRUE,0.226833333333333,0.226833333333333,0.000579728326065179,0.000579728326065179,"T_UT",16
"XLOC_011692","MRPL42",16,7,1,1,0,TRUE,TRUE,0.2198,0.2198,0.000132562829804158,0.000132562829804158,"T_UT",17
"XLOC_027926","LIG1",18,3,1,1,0,TRUE,TRUE,0.218666666666667,0.218666666666667,1.74572161807984e-15,1.74572161807984e-15,"T_UT",18
"XLOC_045156","TMEM14A",8,5,1,1,0,TRUE,TRUE,0.213633333333333,0.213633333333333,8.28312815439018e-06,8.28312815439018e-06,"T_UT",19
"XLOC_044564","TMEM170B",2,1,2,1,1,TRUE,TRUE,0.208566666666667,0.208566666666667,0.0159535927394519,0.0162672576253828,"T_UT",20
"XLOC_047270","IPCEF1",30,19,4,3,1,TRUE,TRUE,0.275,0.202766666666667,1.10487437153054e-35,1.91948367828587e-20,"T_UT",21
"XLOC_047626","SNX10",19,12,1,1,0,TRUE,TRUE,0.201366666666667,0.201366666666667,5.82372668136214e-09,5.82372668136214e-09,"T_UT",22
"XLOC_039900","ELMOD2",10,3,1,1,0,TRUE,TRUE,0.1997,0.1997,9.6385283592061e-06,9.6385283592061e-06,"T_UT",23
"XLOC_053451","FSD1L",14,8,1,1,0,TRUE,TRUE,0.1978,0.1978,4.25165113729314e-13,4.25165113729314e-13,"T_UT",24
"XLOC_022194","CCL4",19,11,2,2,0,TRUE,TRUE,0.188233333333333,0.188233333333333,0.0133619137100073,0.0133619137100073,"T_UT",25
"XLOC_010628","TMEM218",25,8,1,1,0,TRUE,TRUE,0.1882,0.1882,0.000457435358927328,0.000457435358927328,"T_UT",26
"XLOC_013382","SPRING1",6,2,1,1,0,TRUE,TRUE,0.187766666666667,0.187766666666667,2.65548046136346e-05,2.65548046136346e-05,"T_UT",27
"XLOC_011376","DGKA",42,7,1,1,0,TRUE,TRUE,0.186933333333333,0.186933333333333,0.00831334756392417,0.00831334756392417,"T_UT",28
"XLOC_031422","SAP130",9,5,1,1,0,TRUE,TRUE,0.186566666666667,0.186566666666667,0.0126882086065682,0.0126882086065682,"T_UT",29
"XLOC_003727","GBP1",21,16,1,1,0,TRUE,TRUE,0.185066666666667,0.185066666666667,0.00372802908997036,0.00372802908997036,"T_UT",30
"XLOC_020026","CCL22",4,4,2,2,0,TRUE,TRUE,0.882166666666667,0.882166666666667,4.16598358527018e-57,4.16598358527018e-57,"U_UT",1
"XLOC_011393","IL23A",11,9,2,2,0,TRUE,TRUE,0.584466666666667,0.584466666666667,7.43628023104631e-11,7.43628023104631e-11,"U_UT",2
"XLOC_023526","CCL1",4,4,1,1,0,TRUE,TRUE,0.470433333333333,0.470433333333333,0.000134481680448044,0.000134481680448044,"U_UT",3
"XLOC_004551","TNFSF4",6,5,1,1,0,TRUE,TRUE,0.343966666666667,0.343966666666667,1.87050451930655e-07,1.87050451930655e-07,"U_UT",4
"XLOC_022194","CCL4",20,12,2,2,0,TRUE,TRUE,0.317466666666667,0.317466666666667,4.22632530270415e-67,4.22632530270415e-67,"U_UT",5
"XLOC_023567","CCL3",14,13,2,2,0,TRUE,TRUE,0.292766666666667,0.292766666666667,4.54506902626308e-33,4.54506902626308e-33,"U_UT",6
"XLOC_046117","TPMT",7,6,1,1,0,TRUE,TRUE,0.2813,0.2813,6.16110096999e-05,6.16110096999e-05,"U_UT",7
"XLOC_031217","CHST10",13,3,1,1,0,TRUE,TRUE,0.267866666666667,0.267866666666667,0.0384047824068297,0.0384047824068297,"U_UT",8
"XLOC_054071","CD72",11,3,1,1,0,TRUE,TRUE,0.267066666666667,0.267066666666667,0.000173201113484564,0.000173201113484564,"U_UT",9
"XLOC_041899","PELO",15,6,1,1,0,TRUE,TRUE,0.265833333333333,0.265833333333333,1.57382385848388e-09,1.57382385848388e-09,"U_UT",10
"XLOC_044683","TRIM38",10,9,1,1,0,TRUE,TRUE,0.220533333333333,0.220533333333333,0.00609164995162207,0.00609164995162207,"U_UT",11
"XLOC_003850","XLOC_003850",14,14,2,2,0,TRUE,TRUE,0.206733333333333,0.206733333333333,0.0112938676300267,0.0112938676300267,"U_UT",12
"XLOC_047626","SNX10",19,12,1,1,0,TRUE,TRUE,0.205166666666667,0.205166666666667,0.000507715320168872,0.000507715320168872,"U_UT",13
"XLOC_005858","SLC29A3",18,7,1,1,0,TRUE,TRUE,0.2036,0.2036,0.000362806880067754,0.000362806880067754,"U_UT",14
"XLOC_022235","XLOC_022235",5,4,1,1,0,TRUE,TRUE,0.2021,0.2021,0.00181104843962012,0.00181104843962012,"U_UT",15
"XLOC_017653","AQP9",6,4,2,1,1,TRUE,TRUE,0.324266666666667,0.201933333333333,1.17400972942361e-07,0.0119856187315586,"U_UT",16
"XLOC_038421","PCOLCE2",9,2,1,1,0,TRUE,TRUE,0.195833333333333,0.195833333333333,4.19634887088799e-06,4.19634887088799e-06,"U_UT",17
"XLOC_002833","UTS2",50,43,2,1,1,TRUE,TRUE,0.2337,0.193033333333333,6.49906555914609e-35,9.3142025896803e-14,"U_UT",18
"XLOC_011856","FAM216A",7,3,1,1,0,TRUE,TRUE,0.1887,0.1887,2.98149916459118e-09,2.98149916459118e-09,"U_UT",19
"XLOC_007337","STN1",12,8,1,1,0,TRUE,TRUE,0.184633333333333,0.184633333333333,0.000258903253204752,0.000258903253204752,"U_UT",20
"XLOC_016675","ENTPD5",15,8,2,1,1,TRUE,TRUE,0.1796,0.1796,7.3588821621112e-09,7.3588821621112e-09,"U_UT",21
"XLOC_033984","CBR3",2,1,2,1,1,TRUE,TRUE,0.175933333333333,0.175933333333333,0.0227125384367304,0.0228454503684736,"U_UT",22
"XLOC_018964","BCL2A1",5,5,1,1,0,TRUE,TRUE,0.175433333333333,0.175433333333333,1.02948810185028e-08,1.02948810185028e-08,"U_UT",23
"XLOC_013459","ZCCHC8",13,2,1,1,0,TRUE,TRUE,0.1736,0.1736,0.0420876646867205,0.0420876646867205,"U_UT",24
"XLOC_001497","NOTCH2NLC",13,4,1,1,0,TRUE,TRUE,0.172033333333333,0.172033333333333,0.0074766167361409,0.0074766167361409,"U_UT",25
"XLOC_020854","NUPR1",19,3,1,1,0,TRUE,TRUE,0.165966666666667,0.165966666666667,0.00912579873331884,0.00912579873331884,"U_UT",26
"XLOC_034110","XLOC_034110",2,2,2,2,0,TRUE,TRUE,0.163166666666667,0.163166666666667,4.39618070548092e-08,4.39618070548092e-08,"U_UT",27
"XLOC_023226","CDRT1",36,4,1,1,0,TRUE,TRUE,0.1623,0.1623,0.0182218177547437,0.0182218177547437,"U_UT",28
"XLOC_011852","IFT81",16,9,1,1,0,TRUE,TRUE,0.157733333333333,0.157733333333333,0.0344229367548204,0.0344229367548204,"U_UT",29
"XLOC_038616","RPL22P1",2,1,2,1,1,TRUE,TRUE,0.155666666666667,0.155666666666667,0.000802924712800548,0.000802924712800548,"U_UT",30
