"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000675","YBX1",14,0,10,0.581703976521209,0.581703976521209,0.0315666666666667,,FALSE
"XLOC_000676","C1orf50",18,0,7,0.665899080137715,0.665899080137715,0.0508666666666667,,FALSE
"XLOC_000677","ERMAP",22,0,13,0.290609666798836,0.290609666798836,0.0399,,FALSE
"XLOC_000678","ZNF691",13,0,10,0.551697860696183,0.551697860696183,0.0513,,FALSE
"XLOC_000688","TIE1",15,0,5,0.579881125084817,0.579881125084817,0.0232,,FALSE
"XLOC_000689","MPL",2,0,0,0.94652657060839,0.94652657060839,0.0110666666666667,,FALSE
"XLOC_000690","CDC20",18,0,17,0.733218532458547,0.733218532458547,0.0218,,FALSE
"XLOC_000693","SZT2",23,0,5,0.654516541717006,0.654516541717006,0.0502666666666667,,FALSE
"XLOC_000695","PTPRF",15,0,2,0.472688926584332,0.472688926584332,0.0433666666666667,,FALSE
"XLOC_000696","KDM4A",84,0,24,0.000104946557795286,0.000104946557795286,0.0197,,FALSE
"XLOC_000700","IPO13",16,0,9,0.631914742805028,0.631914742805028,0.0397,,FALSE
"XLOC_000701","DPH2",27,0,17,0.341394493419718,0.341394493419718,0.0160666666666667,,FALSE
"XLOC_000702","ATP6V0B",28,0,18,0.582566561971923,0.582566561971923,0.0168666666666666,,FALSE
"XLOC_000703","B4GALT2",8,0,0,0.00501423817446524,0.00501423817446524,0.0566666666666668,,FALSE
"XLOC_000704","CCDC24",11,0,0,0.879102316735107,0.879102316735107,0.0871666666666667,,FALSE
"XLOC_000707","DMAP1",17,0,4,0.178479693175722,0.178479693175722,0.0945,,FALSE
"XLOC_000709","RNF220",17,0,2,0.642363073723775,0.642363073723775,0.0454333333333333,,FALSE
"XLOC_000711","ARMH1",19,0,8,0.226634676482344,0.226634676482344,0.0111666666666667,,FALSE
"XLOC_000712","KIF2C",22,0,15,0.586658544358949,0.586658544358949,0.0415666666666667,,FALSE
"XLOC_000713","RPS8",11,0,5,0.859223593235862,0.859223593235862,0.0192,,FALSE
"XLOC_000715","PLK3",10,0,3,0.401592059017675,0.401592059017675,0.0767,,FALSE
"XLOC_000716","BTBD19",8,1,0,0.0164050110194372,0.0164050110194372,0.190133333333333,0.190133333333333,FALSE
"XLOC_000719","UROD",57,0,37,0.00463683644951263,0.00463683644951263,0.0279666666666667,,FALSE
"XLOC_000722","TOE1",18,0,14,0.65030857067468,0.65030857067468,0.0204,,FALSE
"XLOC_000724","MMACHC",3,0,0,0.596278182710157,0.596278182710157,0.0228,,FALSE
"XLOC_000726","AKR1A1",41,0,31,6.67774600175547e-09,6.67774600175547e-09,0.0403333333333333,,FALSE
"XLOC_000727","NASP",48,0,28,1.33929138100691e-10,1.33929138100691e-10,0.0239333333333333,,FALSE
"XLOC_000728","TMEM69",9,0,9,0.452772906078119,0.452772906078119,0.0523666666666666,,FALSE
"XLOC_000730","MAST2",10,0,0,0.242509409236019,0.242509409236019,0.137666666666667,,FALSE
"XLOC_000736","RAD54L",37,0,20,0.00104507864574229,0.00104507864574229,0.0521333333333334,,FALSE
"XLOC_000737","UQCRH",8,0,5,0.94652657060839,0.94652657060839,0.00370000000000004,,FALSE
"XLOC_000738","NSUN4",14,0,7,0.00302286773139043,0.00302286773139043,0.0652,,FALSE
"XLOC_000740","FAAH",6,0,0,0.94652657060839,0.94652657060839,0.117,,FALSE
"XLOC_000752","LINC00853",2,0,1,0.0799913867454318,0.0799913867454318,0.221833333333333,,FALSE
"XLOC_000754","CMPK1",8,0,4,0.515518025728438,0.515518025728438,0.0201666666666667,,FALSE
"XLOC_000784","CDKN2C",5,0,4,0.94652657060839,0.94652657060839,0.0254666666666667,,FALSE
"XLOC_000790","RNF11",4,0,2,0.94652657060839,0.94652657060839,0.0013333333333333,,FALSE
"XLOC_000796","OSBPL9",45,0,24,0.265946331386141,0.265946331386141,0.105366666666667,,FALSE
"XLOC_000805","BTF3L4",13,0,8,0.000387223442348915,0.000387223442348915,0.0646666666666667,,FALSE
"XLOC_000806","ZFYVE9",5,0,1,0.94652657060839,0.94652657060839,0.0429333333333334,,FALSE
"XLOC_000813","PRPF38A",18,0,16,0.822545005152949,0.822545005152949,0.0244666666666667,,FALSE
"XLOC_000816","GPX7",3,0,1,0.94652657060839,0.94652657060839,0.0152666666666667,,FALSE
"XLOC_000817","SHISAL2A",5,0,1,0.928181629457339,0.928181629457339,0.101766666666667,,FALSE
"XLOC_000820","ZYG11B",3,0,1,0.275069988812308,0.275069988812308,0.0182666666666667,,FALSE
"XLOC_000824","SCP2",23,0,13,0.304608355054407,0.304608355054407,0.0234666666666667,,FALSE
"XLOC_000831","CPT2",15,0,4,0.628029047714472,0.628029047714472,0.0713666666666667,,FALSE
"XLOC_000833","MAGOH-DT",3,0,0,0.94652657060839,0.94652657060839,0.0487,,FALSE
"XLOC_000842","LRRC42",9,0,5,0.27073792662601,0.27073792662601,0.0435,,FALSE
"XLOC_000843","TCEANC2",13,0,8,0.599583385955816,0.599583385955816,0.0181333333333333,,FALSE
"XLOC_000845","MRPL37",12,0,7,0.94652657060839,0.94652657060839,0.0184,,FALSE
"XLOC_000852","ACOT11",8,0,3,0.695203648452223,0.695203648452223,0.0332333333333333,,FALSE
"XLOC_000853","MROH7-TTC4",23,0,9,0.583114381459862,0.583114381459862,0.0371666666666667,,FALSE
"XLOC_000884","FGGY",37,0,20,0.273240510400805,0.273240510400805,0.119233333333333,,FALSE
"XLOC_000900","USP1",11,0,7,0.597393697426111,0.597393697426111,0.0472,,FALSE
"XLOC_000905","ATG4C",14,0,11,0.0566669994997608,0.0566669994997608,0.0972,,FALSE
"XLOC_000914","ALG6",15,0,4,0.074147549842334,0.074147549842334,0.0840666666666667,,FALSE
"XLOC_000916","EFCAB7",9,0,5,0.929892466971512,0.929892466971512,0.1477,,FALSE
"XLOC_000930","DNAJC6",5,0,0,0.94652657060839,0.94652657060839,0.0567666666666666,,FALSE
"XLOC_000931","LEPROT",20,0,10,0.0934358415996357,0.0934358415996357,0.0170666666666667,,FALSE
"XLOC_000932","PDE4B",23,0,9,0.105250158801658,0.105250158801658,0.153,,FALSE
"XLOC_000933","XLOC_000933",2,0,2,0.950501137776125,0.950501137776125,0.119366666666667,,FALSE
