"gene_name","switching","max_abs_dif","max_abs_dif_any","gene_expression","novel_involved","dataset","reference","isg_class"
"AIF1",FALSE,,0.0201666666666667,684.532312012937,FALSE,"H_HT","HT","Type II"
"AZI2",FALSE,,0.0467333333333333,115.481475759194,FALSE,"H_HT","HT","Type I"
"BST2",FALSE,,0.00153333333333333,420.385369778565,FALSE,"H_HT","HT","Type II"
"CACTIN",FALSE,,0.0626,19.2162837153219,FALSE,"H_HT","HT","Type I"
"CALCOCO2",FALSE,,0.0671,129.408065980416,FALSE,"H_HT","HT","Type II"
"CALM1",FALSE,,0.0711666666666667,975.625943708026,FALSE,"H_HT","HT","Type II"
"CASP1",FALSE,,0.0933666666666667,204.993936008022,FALSE,"H_HT","HT","Type II"
"CCL14",FALSE,,0.0299333333333333,49.3722073919708,FALSE,"H_HT","HT","Type II"
"CCL18",FALSE,,0.1355,3696.4682131142,FALSE,"H_HT","HT","Type II"
"CCL2",FALSE,,0.000966666666666671,3103.83144679389,FALSE,"H_HT","HT","Type II"
"CCL20",FALSE,,0.0219333333333333,968.1437534279,FALSE,"H_HT","HT","Type II"
"CCL22",FALSE,,0.0950333333333333,4844.50791064634,FALSE,"H_HT","HT","Type II"
"CCL24",FALSE,,0.0405666666666667,220.13146693876,FALSE,"H_HT","HT","Type II"
"CCL3",FALSE,,0.136,22409.4596175093,FALSE,"H_HT","HT","Type II"
"CCL4",FALSE,,0.0596,22571.2938951298,FALSE,"H_HT","HT","Type II"
"CCL7",FALSE,,0.0907,294.913838126709,FALSE,"H_HT","HT","Type II"
"CD47",FALSE,,0.0113,488.283262247737,FALSE,"H_HT","HT","Type II"
"CD74",FALSE,,0.0823666666666667,19052.5610682379,FALSE,"H_HT","HT","Type II"
"CDC37",FALSE,,0.00956666666666672,518.982057361205,FALSE,"H_HT","HT","Type I + II"
"CIITA",FALSE,,0.0670333333333333,11.0540033572186,FALSE,"H_HT","HT","Type II"
"CITED1",FALSE,,0.120633333333333,25.2945962575131,FALSE,"H_HT","HT","Type II"
"CNOT7",FALSE,,0.0852,74.1642621260753,FALSE,"H_HT","HT","Type I"
"CXCL16",FALSE,,0.0912333333333333,661.390044629446,FALSE,"H_HT","HT","Type II"
"CYP27B1",FALSE,,0.124833333333333,325.378596699472,FALSE,"H_HT","HT","Type II"
"DAPK1",FALSE,,0.0450666666666667,99.3399224606574,FALSE,"H_HT","HT","Type II"
"DCST1",FALSE,,0.0581,99.7538912316845,FALSE,"H_HT","HT","Type I"
"EIF4E2",FALSE,,0.0523,125.787266437809,FALSE,"H_HT","HT","Type I"
"EPRS1",FALSE,,0.0569333333333333,113.990247479741,FALSE,"H_HT","HT","Type II"
"FLNB",FALSE,,0.0847333333333333,35.149965371881,FALSE,"H_HT","HT","Type II"
"GAPDH",FALSE,,0.0379,6336.81747664196,FALSE,"H_HT","HT","Type II"
"GBP1",FALSE,,0.1456,1116.91648994797,FALSE,"H_HT","HT","Type II"
"GBP4",FALSE,,0.135166666666667,188.836220505923,FALSE,"H_HT","HT","Type II"
"GBP5",FALSE,,0.0899666666666667,303.186828571735,FALSE,"H_HT","HT","Type II"
"GCH1",FALSE,,0.0298,274.394561924516,FALSE,"H_HT","HT","Type II"
"GIGYF2",FALSE,,0.0417333333333333,41.8781771028601,FALSE,"H_HT","HT","Type I"
"GSN",FALSE,,0.0488333333333333,2944.77350689871,FALSE,"H_HT","HT","Type II"
"HCK",FALSE,,0.0246333333333333,528.340668627438,FALSE,"H_HT","HT","Type II"
"HLA-DPA1",FALSE,,0.0375333333333333,5181.54086934808,FALSE,"H_HT","HT","Type II"
"IFI27",FALSE,,0.023,86.0730522478517,FALSE,"H_HT","HT","Type I"
"IFIH1",FALSE,,0.0439,393.88365979618,FALSE,"H_HT","HT","Type I"
"IFIT1",FALSE,,0.1323,2069.35689622992,FALSE,"H_HT","HT","Type I"
"IFITM2",TRUE,0.363,0.363,193.578988054661,TRUE,"H_HT","HT","Type I + II"
"IFITM3",FALSE,,0.00736666666666667,662.072859853423,FALSE,"H_HT","HT","Type I + II"
"IFNAR1",FALSE,,0.0462,128.190923661118,FALSE,"H_HT","HT","Type I"
"IFNAR2",FALSE,,0.0769333333333333,198.383682305546,FALSE,"H_HT","HT","Type I"
"IFNGR1",FALSE,,0.0687333333333333,224.380880259301,FALSE,"H_HT","HT","Type II"
"IFNGR2",FALSE,,0.0890666666666667,517.177328672651,FALSE,"H_HT","HT","Type II"
"IKBKE",FALSE,,0.0992666666666667,86.2598667204137,FALSE,"H_HT","HT","Type I"
"IL12RB1",FALSE,,0.238333333333333,6.71516516265458,FALSE,"H_HT","HT","Type II"
"IRAK1",FALSE,,0.0310666666666667,186.968128525509,FALSE,"H_HT","HT","Type I"
"IRF1",FALSE,,0.123066666666667,271.395666215384,FALSE,"H_HT","HT","Type II"
"IRF3",FALSE,,0.111533333333333,34.0708426159083,FALSE,"H_HT","HT","Type I"
"IRF7",FALSE,,0.0779333333333334,188.824611064504,FALSE,"H_HT","HT","Type I"
"IRF8",FALSE,,0.0544666666666667,125.857118938801,FALSE,"H_HT","HT","Type II"
"JAK1",FALSE,,0.086,190.003305002647,FALSE,"H_HT","HT","Type I + II"
"JAK2",TRUE,0.1622,0.1622,76.0581624529961,TRUE,"H_HT","HT","Type II"
"KIF5B",FALSE,,0.1044,179.359178201219,FALSE,"H_HT","HT","Type II"
"KYNU",FALSE,,0.0320333333333333,1331.46952925097,FALSE,"H_HT","HT","Type II"
"LSM14A",FALSE,,0.0783333333333333,70.0312851549471,FALSE,"H_HT","HT","Type I"
"METTL3",FALSE,,0.0517333333333333,31.1306640707695,FALSE,"H_HT","HT","Type I"
"MMP12",FALSE,,0.0656666666666667,85.5042397847944,FALSE,"H_HT","HT","Type I"
"MRC1",FALSE,,0.0541333333333333,2614.98809313935,FALSE,"H_HT","HT","Type II"
"MX1",FALSE,,0.0586,1477.48923442626,FALSE,"H_HT","HT","Type I"
"MYD88",FALSE,,0.0333666666666667,514.300287107744,FALSE,"H_HT","HT","Type I"
"MYO1C",FALSE,,0.0582333333333333,55.654557040705,FALSE,"H_HT","HT","Type II"
"NLRC5",FALSE,,0.0675666666666666,117.49275880516,FALSE,"H_HT","HT","Type I + II"
"NR1H2",FALSE,,0.0924333333333334,74.9193651341065,FALSE,"H_HT","HT","Type II"
"NR1H3",FALSE,,0.0263,1016.74714571134,FALSE,"H_HT","HT","Type II"
"NUB1",FALSE,,0.0593333333333333,190.338578971377,FALSE,"H_HT","HT","Type II"
"OAS1",FALSE,,0.103866666666667,477.768173935724,FALSE,"H_HT","HT","Type I"
"OAS2",FALSE,,0.0884666666666667,435.994842232622,FALSE,"H_HT","HT","Type I"
"OAS3",FALSE,,0.0715666666666667,342.162035403051,FALSE,"H_HT","HT","Type I"
"PARP14",FALSE,,0.121266666666667,334.357592730329,FALSE,"H_HT","HT","Type II"
"PARP9",FALSE,,0.1725,269.280331475616,FALSE,"H_HT","HT","Type II"
"PPARG",FALSE,,0.0838666666666666,98.0233261086363,FALSE,"H_HT","HT","Type II"
"PTPN11",FALSE,,0.0837,67.4708642382935,FALSE,"H_HT","HT","Type I"
"PTPN2",FALSE,,0.0844333333333333,90.371538716021,FALSE,"H_HT","HT","Type I + II"
"PTPN6",FALSE,,0.0531666666666667,710.175645758505,FALSE,"H_HT","HT","Type I"
"RAB43",FALSE,,0.186933333333333,74.1621685470099,FALSE,"H_HT","HT","Type II"
"RAB7B",FALSE,,0.0370333333333333,661.190486480762,FALSE,"H_HT","HT","Type II"
"RAF1",FALSE,,0.0773666666666667,103.376866210957,FALSE,"H_HT","HT","Type II"
"RBM47",FALSE,,0.0683666666666667,199.515015791947,FALSE,"H_HT","HT","Type I"
"SAMHD1",FALSE,,0.088,733.408423446824,FALSE,"H_HT","HT","Type I"
"SETD2",FALSE,,0.113166666666667,33.2786179323782,FALSE,"H_HT","HT","Type I"
"SHFL",FALSE,,0.0296333333333333,92.8931578161464,FALSE,"H_HT","HT","Type I + II"
"SHMT2",FALSE,,0.0966,95.8935110217153,FALSE,"H_HT","HT","Type I"
"SIN3A",FALSE,,0.0917,18.6373237121013,FALSE,"H_HT","HT","Type I"
"SIRPA",FALSE,,0.1271,504.617907725725,FALSE,"H_HT","HT","Type II"
"SLC11A1",FALSE,,0.0923333333333333,715.371807646841,FALSE,"H_HT","HT","Type II"
"SLC22A5",FALSE,,0.233733333333333,3.08057564219351,FALSE,"H_HT","HT","Type II"
"SLC26A6",FALSE,,0.0705333333333333,19.7055814263977,FALSE,"H_HT","HT","Type II"
"SNCA",FALSE,,0.0293,46.8137869767461,FALSE,"H_HT","HT","Type II"
"SP100",FALSE,,0.0513666666666667,224.409596968389,FALSE,"H_HT","HT","Type I + II"
"STAT1",FALSE,,0.0690333333333333,681.362099064368,FALSE,"H_HT","HT","Type I + II"
"STAT2",FALSE,,0.0983,264.412431790208,FALSE,"H_HT","HT","Type I"
"STING1",FALSE,,0.0374333333333333,68.1864721987322,FALSE,"H_HT","HT","Type I"
"STX4",FALSE,,0.0306666666666666,439.973115514919,FALSE,"H_HT","HT","Type II"
"STX8",FALSE,,0.132933333333333,61.4979063039872,FALSE,"H_HT","HT","Type II"
"STXBP1",FALSE,,0.1464,18.8270258490289,FALSE,"H_HT","HT","Type II"
"STXBP3",FALSE,,0.0856,71.676112165561,FALSE,"H_HT","HT","Type II"
"TANK",FALSE,,0.0676666666666667,262.491836086052,FALSE,"H_HT","HT","Type I"
"TBK1",FALSE,,0.119466666666667,143.043892338124,FALSE,"H_HT","HT","Type I"
"TBKBP1",FALSE,,0.100866666666667,11.8140672920828,FALSE,"H_HT","HT","Type I"
"TLR2",FALSE,,0.0504333333333333,282.77871879528,FALSE,"H_HT","HT","Type II"
"TNF",FALSE,,0.0579333333333333,1554.49179845361,FALSE,"H_HT","HT","Type II"
"TP53",FALSE,,0.1744,20.5922016667628,FALSE,"H_HT","HT","Type II"
"TRAF3",FALSE,,0.0562666666666667,43.2640188619553,FALSE,"H_HT","HT","Type I"
"TRIM21",FALSE,,0.0232333333333333,192.21387993307,FALSE,"H_HT","HT","Type II"
"TRIM41",FALSE,,0.0385333333333333,17.5340517877195,FALSE,"H_HT","HT","Type I"
"TRIM56",FALSE,,0.0590666666666667,32.2698003485525,FALSE,"H_HT","HT","Type I"
"TRIM6",FALSE,,0.0227666666666667,27.7116546755733,FALSE,"H_HT","HT","Type I"
"TTLL12",FALSE,,0.170666666666667,34.4715891351678,FALSE,"H_HT","HT","Type I"
"TYK2",FALSE,,0.0462666666666667,89.9262829226116,FALSE,"H_HT","HT","Type I + II"
"UBD",FALSE,,0.111,5.17204590171548,FALSE,"H_HT","HT","Type II"
"USP18",TRUE,0.173066666666667,0.173066666666667,411.748786122903,TRUE,"H_HT","HT","Type I"
"VIM",FALSE,,0.0456666666666667,16106.286746483,FALSE,"H_HT","HT","Type II"
"WNT5A",FALSE,,0.0823,5.66866655450195,FALSE,"H_HT","HT","Type I + II"
"YTHDF3",FALSE,,0.0804333333333334,104.072587264124,FALSE,"H_HT","HT","Type I"
"ZYX",FALSE,,0.0433,1228.27735409009,FALSE,"H_HT","HT","Type II"
"ACTG1",FALSE,,0.0163,5688.60186836915,FALSE,"U_UT","UT","Type II"
"ACTR2",FALSE,,0.0352,654.714253690926,FALSE,"U_UT","UT","Type II"
"ACTR3",FALSE,,0.0207333333333334,1081.29592811426,FALSE,"U_UT","UT","Type II"
"ADAMTS13",FALSE,,0.0701,5.14249346261556,FALSE,"U_UT","UT","Type II"
"ADAR",FALSE,,0.0699333333333333,441.818557563525,FALSE,"U_UT","UT","Type I"
"AIF1",FALSE,,0.0413666666666667,78.533705041683,FALSE,"U_UT","UT","Type II"
"ASS1",FALSE,,0.0217,414.630417354644,FALSE,"U_UT","UT","Type II"
"AZI2",FALSE,,0.0418666666666667,64.4385108535218,FALSE,"U_UT","UT","Type I"
"BST2",FALSE,,0.0042,977.171679111646,FALSE,"U_UT","UT","Type II"
"CACTIN",FALSE,,0.0253333333333333,26.9800741233398,FALSE,"U_UT","UT","Type I"
"CALCOCO2",FALSE,,0.0379666666666667,143.737436307368,FALSE,"U_UT","UT","Type II"
"CALM1",FALSE,,0.0355333333333333,338.585747524342,FALSE,"U_UT","UT","Type II"
"CAMK2A",FALSE,,0.102166666666667,10.0453976519024,FALSE,"U_UT","UT","Type II"
"CASP1",FALSE,,0.0663,152.294706077293,FALSE,"U_UT","UT","Type II"
"CCL1",TRUE,0.470433333333333,0.474166666666667,168.396613082446,TRUE,"U_UT","UT","Type II"
"CCL2",FALSE,,0.0402666666666666,97.2012732744967,FALSE,"U_UT","UT","Type II"
"CCL20",FALSE,,0.0338333333333334,1466.38677659275,FALSE,"U_UT","UT","Type II"
"CCL21",FALSE,,0.0145,13.7054571620215,FALSE,"U_UT","UT","Type II"
"CCL22",TRUE,0.882166666666667,0.882166666666667,16.1158509978708,TRUE,"U_UT","UT","Type II"
"CCL23",FALSE,,0.1234,15.5979198548136,FALSE,"U_UT","UT","Type II"
"CCL3",TRUE,0.292766666666667,0.292766666666667,3111.0724809601,TRUE,"U_UT","UT","Type II"
"CCL4",TRUE,0.317466666666667,0.317466666666667,3751.64931962446,TRUE,"U_UT","UT","Type II"
"CD47",FALSE,,0.0363666666666667,213.054673133307,FALSE,"U_UT","UT","Type II"
"CD58",FALSE,,0.0356333333333333,207.44534799264,FALSE,"U_UT","UT","Type II"
