"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"ZC3HAV1","T-only","XLOC_050046",,4,,0.202066666666667,,,1.24822009558154e-13,,TRUE,,TRUE,,43,
"INPP5A","T-only","XLOC_006407",,1,,0.201966666666667,,,0.0115057115380404,,FALSE,,FALSE,,141,
"CYBRD1","T-only","XLOC_029660",,1,,0.201866666666667,,,0.0377126759438956,,FALSE,,FALSE,,142,
"ELMOD2","T-only","XLOC_039900",,1,,0.1997,,,0.000310912602640802,,TRUE,,FALSE,,143,
"FOXP4-AS1","T-only","XLOC_046511",,1,,0.196333333333333,,,0.00522884585530762,,FALSE,,FALSE,,144,
"ZBTB49","T-only","XLOC_038969",,1,,0.1946,,,0.00291604550311364,,FALSE,,FALSE,,145,
"CTTNBP2NL","T-only","XLOC_001303",,2,,0.194233333333333,,,1.14088211584295e-05,,TRUE,,TRUE,,44,
"MYZAP","T-only","XLOC_017650",,2,,0.192266666666667,,,0.000497249837571133,,TRUE,,TRUE,,45,
"CDKN3","T-only","XLOC_015489",,2,,0.192066666666667,,,1.70473529126736e-05,,FALSE,,TRUE,,46,
"AGO4","T-only","XLOC_000574",,1,,0.191633333333333,,,0.0392160238918131,,FALSE,,FALSE,,146,
"LRP5L","T-only","XLOC_035475",,1,,0.1916,,,0.00443193130448852,,FALSE,,FALSE,,147,
"SPRING1","T-only","XLOC_013382",,1,,0.187766666666667,,,4.1933642327143e-05,,TRUE,,FALSE,,148,
"NPEPPSP1","T-only","XLOC_023601",,1,,0.187333333333333,,,0.00892081118471953,,FALSE,,FALSE,,149,
"DGKA","T-only","XLOC_011376",,1,,0.186933333333333,,,0.0166488825441557,,TRUE,,FALSE,,150,
"SAP130","T-only","XLOC_031422",,1,,0.186566666666667,,,0.00842241565329453,,TRUE,,FALSE,,151,
"OSBPL7","T-only","XLOC_023867",,1,,0.185966666666667,,,0.0368124230335728,,FALSE,,FALSE,,152,
"NPIPB15","T-only","XLOC_020221",,1,,0.1849,,,0.0334087275164649,,FALSE,,FALSE,,153,
"HERPUD2-AS1","T-only","XLOC_047710",,1,,0.1844,,,0.0190931340090888,,FALSE,,FALSE,,154,
"SP1","T-only","XLOC_011307",,2,,0.184133333333333,,,0.00610586046621409,,FALSE,,TRUE,,48,
"PTGFRN","T-only","XLOC_001352",,1,,0.183033333333333,,,0.032986730597945,,TRUE,,FALSE,,155,
"SLC35A5","T-only","XLOC_036627",,1,,0.1824,,,0.00110881795412981,,TRUE,,FALSE,,156,
"CDK6","T-only","XLOC_049662",,2,,0.181233333333333,,,0.0292947571176595,,FALSE,,TRUE,,49,
"CREB5","T-only","XLOC_047650",,1,,0.181033333333333,,,4.42653987360935e-05,,FALSE,,FALSE,,157,
"SOCS4","T-only","XLOC_015494",,1,,0.1795,,,0.0309592436720075,,FALSE,,FALSE,,160,
"TTC9C","T-only","XLOC_008309",,1,,0.179033333333333,,,0.00458382500313504,,TRUE,,FALSE,,161,
"PYM1","T-only","XLOC_012843",,1,,0.1764,,,0.00210353641205075,,TRUE,,FALSE,,162,
