"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross"
26,"AMN1",0.250666666666667,-0.51562746693709,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.250666666666667,,,-0.51562746693709,,,FALSE,TRUE,TRUE,FALSE,FALSE
27,"RIN3",0.2494,0.61460392491119,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.2494,0.261433333333333,,0.61460392491119,0.695455414531522,60.3034549735492,2,TRUE,TRUE,TRUE,FALSE,TRUE
28,"TMEM52B",0.248333333333333,0.39759431697801,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.248333333333333,,0.0874500011927467,0.39759431697801,,,FALSE,TRUE,TRUE,FALSE,FALSE
29,"TMEM63B",0.2477,0.863113376543324,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.2477,0.2444,,0.863113376543324,0.946962749877352,62.4893875535031,2,TRUE,TRUE,TRUE,FALSE,TRUE
30,"ARHGAP26",0.246866666666667,0.410883104369707,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.246866666666667,0.2461,,0.410883104369707,0.507676687818973,49.7264019585602,1,TRUE,TRUE,TRUE,FALSE,TRUE
31,"TXNL4B",0.246633333333333,0.287376737069497,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.246633333333333,,-0.131905199774778,0.287376737069497,,,FALSE,TRUE,TRUE,FALSE,TRUE
32,"LCMT1",0.242266666666667,-0.333667764180694,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.242266666666667,,,-0.333667764180694,-0.246794758762662,29.9127665367723,1,TRUE,FALSE,TRUE,FALSE,TRUE
33,"GBP1",0.239266666666667,2.11823236817367,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.239266666666667,0.185066666666667,,2.11823236817367,2.18237454465392,99.948790389714,1,TRUE,TRUE,TRUE,FALSE,TRUE
34,"IRAK3",0.238166666666667,-0.0774197549616504,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in H_HT",,0.238166666666667,,,-0.0774197549616504,,,FALSE,TRUE,TRUE,FALSE,FALSE
35,"POGLUT1",0.237233333333333,1.61930779306895,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.237233333333333,,1.46433741653863,1.61930779306895,,,FALSE,TRUE,TRUE,FALSE,FALSE
