"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta","tested_in_H","tested_in_T","H_ctx_dIF","H_ctx_IF1","H_ctx_IF2","H_ctx_q","T_ctx_dIF","T_ctx_IF1","T_ctx_IF2","T_ctx_q","H_dIF_used","same_direction_ctx","T_dIF_used","same_direction_ctx_T","overlap_note_T"
"TCONS_00222211","XLOC_041549","WDR70",0.0544333333333333,0.9202403403604,0.379241800854068,FALSE,-0.278766666666667,1.96995744464588e-05,1.96995744464588e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.3332,TRUE,TRUE,-0.278766666666667,0.315033333333333,0.0362666666666667,1.96995744464588e-05,0.0544333333333333,0.191866666666667,0.2463,0.9202403403604,-0.278766666666667,FALSE,0.0544333333333333,FALSE,"Tested in T, not switching"
"TCONS_00285757","XLOC_054376","MIR600HG",0.0401,0.9202403403604,0.288479590477621,FALSE,0.275833333333333,0.0193587477286699,0.0193587477286699,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.235733333333333,TRUE,TRUE,0.275833333333333,0.215233333333333,0.491066666666667,0.0193587477286699,0.0401,0.304466666666667,0.344566666666667,0.9202403403604,0.275833333333333,TRUE,0.0401,TRUE,"Tested in T, not switching"
"TCONS_00247711","XLOC_045562","SYTL3",-0.0476,0.964633212177302,0.0371820212638423,FALSE,-0.274566666666667,0.000359770125115378,0.000359770125115378,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.226966666666667,TRUE,TRUE,-0.274566666666667,0.336066666666667,0.0615,0.000359770125115378,-0.0476,0.0914666666666667,0.0438666666666667,0.964633212177302,-0.274566666666667,TRUE,-0.0476,TRUE,"Tested in T, not switching"
"TCONS_00233188","XLOC_043172","DIMT1",-0.0814333333333333,0.798427128901124,0.493744278621248,FALSE,-0.271033333333333,1.02781397448389e-06,1.02781397448389e-06,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.1896,TRUE,TRUE,-0.271033333333333,0.325933333333333,0.0549,1.02781397448389e-06,-0.0814333333333333,0.280266666666667,0.198833333333333,0.798427128901124,-0.271033333333333,TRUE,-0.0814333333333333,TRUE,"Tested in T, not switching"
"TCONS_00026498","XLOC_003828","VAV3",-0.00996666666666668,0.9890820200011,0.36678566892186,FALSE,-0.270666666666667,0.0162368024267668,0.0162368024267668,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.2607,TRUE,TRUE,-0.270666666666667,0.291433333333333,0.0207666666666667,0.0162368024267668,-0.00996666666666668,0.284966666666667,0.275,0.9890820200011,-0.270666666666667,TRUE,-0.00996666666666668,TRUE,"Tested in T, not switching"
"TCONS_00224776","XLOC_042170","IRF1-AS1",0.0347666666666667,0.400577847723877,5.21264221386803e-09,FALSE,0.266233333333333,0.0274521369431817,0.0274521369431817,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.231466666666667,TRUE,TRUE,0.266233333333333,0.0601666666666667,0.3264,0.0274521369431817,0.0347666666666667,0.0417,0.0764666666666667,0.400577847723877,0.266233333333333,TRUE,0.0347666666666667,TRUE,"Tested in T, not switching"
"TCONS_00008433","XLOC_001925","RABGAP1L",-0.00493333333333335,0.99510014091716,0.0126084025004598,FALSE,-0.2651,0.00166954000570452,1.02999240242851e-09,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.260166666666667,TRUE,TRUE,-0.2651,0.346733333333333,0.0816333333333333,0.00166954000570452,-0.00493333333333335,0.510866666666667,0.505933333333333,0.99510014091716,-0.2651,TRUE,-0.00493333333333335,TRUE,"Tested in T, not switching"
"TCONS_00171616","XLOC_029077","MERTK",0.167566666666667,1.88289980932253e-06,6.61126698841958e-08,TRUE,0.263466666666667,0.0132653436057147,0.00497233460182995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0959,TRUE,TRUE,0.263466666666667,0.261766666666667,0.525233333333333,0.0132653436057147,0.167566666666667,0.0580666666666667,0.225633333333333,1.88289980932253e-06,0.263466666666667,TRUE,0.167566666666667,TRUE,"Significant in T"
"TCONS_00274112","XLOC_052341","DGAT1",0.0110666666666667,0.921757523133604,0.356853603187233,FALSE,0.262933333333333,9.34263852149126e-08,9.34263852149126e-08,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.251866666666667,TRUE,TRUE,0.262933333333333,0.0219666666666667,0.2849,9.34263852149126e-08,0.0110666666666667,0.0508,0.0618666666666667,0.921757523133604,0.262933333333333,TRUE,0.0110666666666667,TRUE,"Tested in T, not switching"
"TCONS_00086367","XLOC_016503","COX16",0.0528666666666667,0.401976591566576,0.401976591566576,FALSE,-0.2609,2.34530135020341e-09,2.34530135020341e-09,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.313766666666667,TRUE,TRUE,-0.2609,0.3039,0.043,2.34530135020341e-09,0.0528666666666667,0.0589666666666667,0.111833333333333,0.401976591566576,-0.2609,FALSE,0.0528666666666667,FALSE,"Tested in T, not switching"
"TCONS_00143337","XLOC_026932","SEMA6B",0.00176666666666667,1,0.9202403403604,FALSE,0.2586,0.0045943579563193,0.0045943579563193,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.256833333333333,TRUE,TRUE,0.2586,0.1051,0.3637,0.0045943579563193,0.00176666666666667,0.1914,0.193166666666667,1,0.2586,TRUE,0.00176666666666667,TRUE,"Tested in T, not switching"
"TCONS_00057276","XLOC_010685","RHNO1",-0.0730333333333333,0.9202403403604,0.426492837860855,FALSE,0.258166666666667,0.0488148862167672,2.30042676080251e-10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.3312,TRUE,TRUE,0.258166666666667,0.315866666666667,0.574033333333333,0.0488148862167672,-0.0730333333333333,0.434566666666667,0.361533333333333,0.9202403403604,0.258166666666667,FALSE,-0.0730333333333333,FALSE,"Tested in T, not switching"
"TCONS_00234605","XLOC_043301","TBCA",0.0169666666666667,0.99011564356476,0.0490325814591925,FALSE,0.255933333333333,0.032965966897701,0.000139931543774976,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.238966666666667,TRUE,TRUE,0.255933333333333,0.00936666666666667,0.2653,0.032965966897701,0.0169666666666667,0.107533333333333,0.1245,0.99011564356476,0.255933333333333,TRUE,0.0169666666666667,TRUE,"Tested in T, not switching"
"TCONS_00024835","XLOC_000801","PRPF38A",0.0285,0.9202403403604,0.115678108093361,FALSE,0.2532,6.00509229674827e-05,6.00509229674827e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.2247,TRUE,TRUE,0.2532,0.0583333333333333,0.311533333333333,6.00509229674827e-05,0.0285,0.1062,0.1347,0.9202403403604,0.2532,TRUE,0.0285,TRUE,"Tested in T, not switching"
"TCONS_00039288","XLOC_007201","EXOSC1",0.0407,0.873134498097983,0.551094913463095,FALSE,-0.252366666666667,3.2771728547886e-07,3.2771728547886e-07,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.293066666666667,TRUE,TRUE,-0.252366666666667,0.323766666666667,0.0714,3.2771728547886e-07,0.0407,0.0763666666666667,0.117066666666667,0.873134498097983,-0.252366666666667,FALSE,0.0407,FALSE,"Tested in T, not switching"
"TCONS_00250088","XLOC_047195","ZNF316",0.112533333333333,0.91700300350743,0.590090279164017,FALSE,0.250766666666667,0.00974371984314189,0.00974371984314189,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.138233333333333,TRUE,TRUE,0.250766666666667,0.1234,0.374166666666667,0.00974371984314189,0.112533333333333,0.141966666666667,0.2545,0.91700300350743,0.250766666666667,TRUE,0.112533333333333,TRUE,"Tested in T, not switching"
"TCONS_00248925","XLOC_046645","SESN1",-0.0414666666666667,0.923104819151259,3.32285678664154e-14,FALSE,-0.2499,0.00237126964362705,0.00237126964362705,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.208433333333333,TRUE,TRUE,-0.2499,0.335533333333333,0.0856333333333333,0.00237126964362705,-0.0414666666666667,0.278,0.236533333333333,0.923104819151259,-0.2499,TRUE,-0.0414666666666667,TRUE,"Tested in T, not switching"
"TCONS_00234519","XLOC_043002","NUP155",-0.0261,0.701371925236217,0.0950404345744323,FALSE,0.249533333333333,8.41207376768693e-05,8.41207376768693e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.275633333333333,TRUE,TRUE,0.249533333333333,0.0608,0.310333333333333,8.41207376768693e-05,-0.0261,0.1447,0.1186,0.701371925236217,0.249533333333333,FALSE,-0.0261,FALSE,"Tested in T, not switching"
"TCONS_00234662","XLOC_043432","TTC37",0.0737333333333333,0.628604709812851,0.463352663908027,FALSE,-0.248933333333333,2.85281244426782e-06,2.85281244426782e-06,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.322666666666667,TRUE,TRUE,-0.248933333333333,0.2808,0.0318666666666667,2.85281244426782e-06,0.0737333333333333,0.173533333333333,0.247266666666667,0.628604709812851,-0.248933333333333,FALSE,0.0737333333333333,FALSE,"Tested in T, not switching"
"TCONS_00228398","XLOC_043075","EMB",-0.0228333333333333,0.9202403403604,0.869684499718991,FALSE,0.247633333333333,3.64439820425664e-05,3.64439820425664e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.270466666666667,TRUE,TRUE,0.247633333333333,0.0999333333333333,0.347566666666667,3.64439820425664e-05,-0.0228333333333333,0.288033333333333,0.2652,0.9202403403604,0.247633333333333,FALSE,-0.0228333333333333,FALSE,"Tested in T, not switching"
"TCONS_00101095","XLOC_019117","HAGHL",0.0308,0.932518847837968,0.632733709482229,FALSE,0.243466666666667,0.0456576490752209,0.0456576490752209,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.212666666666667,TRUE,TRUE,0.243466666666667,0.232733333333333,0.4762,0.0456576490752209,0.0308,0.231366666666667,0.262166666666667,0.932518847837968,0.243466666666667,TRUE,0.0308,TRUE,"Tested in T, not switching"
"TCONS_00150838","XLOC_026083","PDCD5",-0.00856666666666667,0.9361749653331,0.438091302008319,FALSE,0.2401,4.8400691145996e-31,4.8400691145996e-31,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.248666666666667,TRUE,TRUE,0.2401,0.0296333333333333,0.269733333333333,4.8400691145996e-31,-0.00856666666666667,0.0466,0.0380333333333333,0.9361749653331,0.2401,FALSE,-0.00856666666666667,FALSE,"Tested in T, not switching"
"TCONS_00237426","XLOC_044645","PFDN6",-0.0514666666666667,0.9202403403604,0.905518663167345,FALSE,-0.239933333333333,3.77020684795584e-20,3.77020684795584e-20,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.188466666666667,TRUE,TRUE,-0.239933333333333,0.279533333333333,0.0396,3.77020684795584e-20,-0.0514666666666667,0.150633333333333,0.0991666666666667,0.9202403403604,-0.239933333333333,TRUE,-0.0514666666666667,TRUE,"Tested in T, not switching"
"TCONS_00136699","XLOC_025649","RPS28",-0.0533,0.409978804958456,0.278890253424554,FALSE,-0.2385,0.0019400256866325,0.0019400256866325,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.1852,TRUE,TRUE,-0.2385,0.4851,0.2466,0.0019400256866325,-0.0533,0.368433333333333,0.315133333333333,0.409978804958456,-0.2385,TRUE,-0.0533,TRUE,"Tested in T, not switching"
